station,latitude,longitude,elevation
AFK,32.8338,35.1304,0.039
ALMG,31.7896,35.4611,-0.265
ALMT,32.7079,35.5468,0.041
AMAZ,31.5325,34.9154,0.396
AMID,32.927,35.5393,0.274
ARD,31.2567,35.2103,0.603
ARIL,32.104,35.2096,0.676
BLGI,32.733,35.191,0.19
BTNR,31.647,34.871,-0.13
BTSH,32.4978,35.498,0.499
CSS,34.962,33.331,0.0
CVYN,32.5954,35.519,0.289
DSI,31.59,35.392,0.1
EIL,29.6712,34.9512,0.2
ELFZ,29.797,35.0128,0.198
ELOT,29.5823,34.9637,0.075
ENGV,32.7813,35.6387,-0.1995
EYHV,30.659,35.2357,-0.082
GEM,33.2105,35.6631,0.223
GLHS,32.7135,35.6497,0.32
GNNR,32.5279,35.3354,0.1863
GOSH,33.2196,35.6241,0.1005
HDNS,32.9279,35.6413,-0.0276
HMDT,32.253,35.526,0.125
HMRA,32.1998,35.4357,-0.039
HNTI,33.0827,35.1742,0.301
HRFI,30.0364,35.037,0.0
HTCH,32.7789,35.024,0.177
HULT,33.0504,35.611,0.0816
HZVA,30.7677,35.2801,-0.149
ISP,37.8226,30.5221,1.1
IZRL,32.5628,35.3226,0.0855
JER,31.7724,35.1981,0.777
KEGD,31.4173,35.3794,-0.391
KMKB,32.7923,35.1144,0.0305
KNHM,32.8837,35.5791,-0.198
KRMI,30.117,34.725,0.468
KRPN,32.4584,35.5548,-0.2445
KRSH,33.2068,35.5686,0.1348
KSH0,32.9816,35.811,0.7204
KSHI,32.9816,35.811,0.7204
KZIT,30.9067,34.3978,0.248
LTN,29.988,35.0858,0.198
LVBS,33.1409,35.6496,0.0978
MBRI,29.794,34.914,0.85
MEFR,32.0709,35.4034,0.2043
MEHL,32.365,35.5155,-0.1817
MGDL,32.8402,35.5072,-0.133
MLDT,32.5858,35.439,0.067
MMA0,33.0152,35.4031,0.809
MMA0B,33.0152,35.4031,0.809
MMA1,33.0181,35.4062,0.766
MMA2,33.0125,35.4057,0.776
MMA3,33.0121,35.4006,0.792
MMA4,33.0146,35.3975,0.851
MMB1,33.0151,35.4108,0.733
MMB4,33.0208,35.402,0.806
MMC4,33.0072,35.4186,0.75
MMC5,33.0087,35.4127,0.766
MMC7,33.0221,35.3926,0.816
MNHM,32.6636,35.5523,-0.168
MSAM,33.247,35.5486,0.8074
MSBI,31.3126,35.358,-0.314
MSLM,31.5693,35.4001,-0.283
MTLA,33.2781,35.5783,0.519
NAMA,31.9066,35.4668,-0.1872
NATI,33.262,35.7364,1.0
NTKR,30.9344,35.376,-0.344
NVZR,31.1536,35.3652,-0.377
OFRI,32.6214,34.9854,0.52
PRNI,30.3519,35.0046,0.411
RGMN,32.1686,35.5216,-0.191
RMNI,30.5964,34.762,0.88
RMOT,32.8509,35.6657,-0.0151
ROI,32.2482,35.4878,0.032
RSPN,32.9704,35.5465,0.352
SHGL,32.6858,35.6043,-0.176
SLMZ,32.102,35.4918,-0.2445
SLTI,32.2405,35.0403,0.25
SPR,32.8646,35.5393,-0.208
TVR,32.7812,35.5397,-0.1639
VJRH,31.8268,35.4345,-0.1342
YFTH,33.1274,35.551,0.4251
YGR,32.7394,35.0753,0.0576
YHL,30.0836,35.1288,0.198
YITV,31.9466,35.4233,-0.0974
YTIR,31.3625,35.1157,0.9
YTVT,29.8921,35.0591,0.092
ZEFT,32.9688,35.4936,0.795
ZFRI,30.554,35.1782,0.0
ZRT,33.1015,35.2902,0.651
BTOR,32.7299,35.0058,0.3870
DSHN,33.0829,35.5195,0.4570
KDZV,33.0294,35.6948,0.4760